words,meanings
about,关于
above,以上
abuse,滥用
actor,演员
acute,急性
adapt,适应
admit,承认
adopt,采用
adore,崇拜
adult,成人
after,后
again,再一次
agent,代理
agree,同意
ahead,之前
alarm,报警
album,专辑
alike,都
alive,活着
alley,小巷
allow,允许
alone,独自一人
along,沿着
aloud,大声
amaze,使吃惊
among,在
ample,充足的
amuse,娱乐
anger,愤怒
angle,角
angry,愤怒的
ankle,脚踝
annoy,骚扰
apart,分开
apple,苹果
apply,应用
apron,围裙
argue,认为
arrow,箭头
asian,亚洲
aside,一边
avoid,避免
award,奖
aware,意识到
awful,可怕的
bacon,培根
basic,基本
basin,盆地
basis,基础
bathe,洗澡
beach,海滩
beard,胡子
beast,野兽
being,被
belly,肚子
below,下面
bench,板凳上
bingo,宾戈游戏
birth,出生
black,黑色的
blame,怪
blank,空白
bleed,流血
bless,祝福
blind,盲目的
block,块
blood,血
board,董事会
bonus,奖金
booth,展位
bored,无聊
bound,绑定
brain,大脑
brake,刹车
brand,品牌
brave,勇敢的
bread,面包
brick,砖
bride,新娘
brief,短暂的
broad,广泛的
broom,扫帚
brown,棕色（的）
brush,刷
bunch,群
burst,破裂
camel,骆驼
modal,模态
canal,运河
candy,糖果
carry,携带
carve,雕刻
cater,满足
cause,导致
chain,链
chair,椅子
chalk,粉笔
chant,咏唱
chaos,混乱
chart,图表
cheap,便宜的
cheat,作弊
check,检查
cheek,脸颊
cheer,欢呼
chess,国际象棋
chest,胸部
chief,首席
choir,唱诗班
choke,窒息
cigar,雪茄
civil,民事
class,类
clean,清洁
clear,清晰的
clerk,职员
click,点击
climb,爬
clock,时钟
clone,克隆
close,关闭
cloth,布
cloud,云
coach,教练
coast,海岸
cocoa,可可
cough,咳嗽
could,可以
modal,模态
count,数
court,法院
cover,封面
crash,崩溃
crazy,疯狂的
cream,奶油
crime,犯罪
cross,交叉
crowd,人群
cruel,残酷的
cubic,立方
cycle,周期
daily,每天
dance,跳舞
modal,模态
death,死亡
delay,延迟
depth,深度
diary,日记
dirty,脏
dizzy,头晕
doubt,怀疑
dozen,打
draft,草案
dress,衣服
drill,钻
drunk,喝醉了
dusty,尘土飞扬的
eager,急切的
eagle,鹰
early,早期
earth,地球
elder,老
elect,选举
empty,空
enemy,敌人
enjoy,享受
enter,输入
entry,条目
equal,平等的
equip,装备
error,错误
erupt,爆发
essay,文章
event,事件
every,每一个
exact,确切的
exist,存在
extra,额外的
faith,信仰
false,假
fancy,花俏的
fault,的错
feast,盛宴
fence,栅栏
ferry,渡船
fetch,获取
fever,发热
field,场
final,最后
flame,火焰
flash,闪光
flesh,肉
float,浮动
flood,洪水
floor,地板上
flour,面粉
focus,焦点
foggy,多雾的
force,力
found,发现
franc,法郎
fresh,新鲜的
front,前面
frost,霜
fruit,水果
funny,有趣的
furry,毛茸茸的
glare,眩光
glass,玻璃
globe,全球
glory,荣耀
glove,手套
goods,货物
grade,年级
grain,粮食
grand,壮丽的
grape,葡萄
graph,图
grasp,掌握
grass,草
great,伟大的
green,绿色
greet,问候
grill,烧烤
group,集团
guard,警卫
guess,猜一猜
guest,客人
guide,指南
habit,习惯
handy,方便的
happy,快乐
hatch,孵化
heart,心
heavy,重
hello,你好
hobby,爱好
honey,蜂蜜
horse,马
hotel,酒店
house,房子
human,人类
human,人类
being,被
hurry,快点
idiom,成语
jeans,牛仔裤
judge,法官
juice,汁
knock,敲门
large,大
laugh,笑
least,至少
legal,法律
lemon,柠檬
level,水平
light,光
limit,限制
local,当地的
loose,宽松的
lorry,卡车
lucky,幸运的
lunch,午餐
magic,魔法
major,主要
maple,枫木
march,3月
marry,结婚
match,匹配
modal,模态
maybe,也许
means,意味着
medal,金牌
media,媒体
melon,瓜
mercy,怜悯
merry,快乐
messy,混乱的
metal,金属
might,可能
modal,模态
minus,减
model,模型
modem,调制解调器
money,钱
month,月
moral,道德
motor,电动机
motto,的座右铭
mourn,哀悼
mouth,口
movie,电影
muddy,泥泞的
music,音乐
modal,模态
modal,模态
never,从来没有
niece,侄女
night,晚上
noble,高贵的
noise,噪音
noisy,嘈杂的
north,北
novel,小说
nurse,护士
occur,发生
ocean,海洋
offer,提供
often,经常
onion,洋葱
opera,歌剧
orbit,轨道
order,订单
organ,器官
other,其他
ought,应该
modal,模态
outer,外
owner,老板
paint,油漆
